Pollutant:,PM10,Unit: grams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
agriculture and forestry 01T03,0.0,0.0,0.0,0.0,0.0,109683591.55383821,109209053.26796153,115120132.80050847,117273903.3025201,120670160.6476917,123829378.94284436,126121478.36304505,127692380.00170085,129208380.55691177,130799685.85002019,132429218.0162361,133342249.00565116,135477076.3098824,137234833.85512313,139220512.34596828,141962737.28972632,144368364.0460796,146647569.528407,149115553.5478004,151650845.0070531,154143540.1306495,157191580.58062163,160044809.06716892,163038413.4100287,166099907.81725824,169316488.41673222,172744141.02943084,175981259.7037869,179201696.8657482,182594438.11625665,186068773.63072574
coal mining 05,0.0,0.0,0.0,0.0,0.0,368586.636503352,366582.055592938,389652.144917794,419358.018961637,446597.142783174,470195.996949648,486021.389471473,497242.547114473,510436.39668339,520295.641431185,530923.237282006,541023.276709049,554838.034729768,563366.584333704,573204.651035662,581166.772487715,587579.223861014,594062.537388335,601396.079785782,609705.082436886,620031.319286641,628676.478778574,640550.242087909,650523.435387012,661423.339652222,671292.865361726,676682.151374473,680725.195199873,689714.664211708,695590.566086883,699367.614919506
oil and gas extraction 06,0.0,0.0,0.0,0.0,0.0,3418.367870218,3277.615917727,3372.380456702,3635.318992826,3837.432024691,4007.224910795,4134.087197898,4218.355929296,4273.689687682,4330.075751718,4372.492956379,4422.876137137,4476.280819331,4495.236308131,4561.565533951,4602.587876449,4652.561276513,4701.419273791,4746.241829717,4774.171997249,4815.285227973,4886.41565084,4957.769123699,4974.301610917,5025.932991753,5049.31369489,5071.194593771,5082.546460726,5117.02690684,5149.482297777,5108.617488604
other mining and quarrying 07T08,0.0,0.0,0.0,0.0,0.0,5111597.019088342,5510823.077359432,5901825.171873719,5998944.331882115,6222676.670045204,6417278.695028747,6544552.589283272,6645341.517910127,6786563.017054987,6887236.442787147,7018429.869099921,7159988.014458527,7347545.696136964,7487382.952970412,7628061.01695602,7774313.123402094,7895192.560089092,8013364.228881972,8175137.047627505,8326882.83245252,8509826.951759847,8693847.564985732,8907853.718572803,9082969.35668053,9311112.446896665,9515050.390016222,9724960.465241581,9890474.63715302,10151286.325908963,10404881.753434196,10633576.60540924
food beverage and tobacco 10T12,0.0,0.0,0.0,0.0,0.0,2195670.987981436,2178736.400826376,2295255.728738088,2338479.969588822,2393694.731324812,2450937.67262467,2486981.011531298,2502475.635443055,2520461.946714917,2540842.749257294,2560203.724822085,2574427.357139956,2609914.177421558,2634006.559559538,2662634.35148176,2700698.615056102,2735087.40295517,2756951.237461418,2771885.235581423,2809126.708665756,2845816.01071286,2894862.394293978,2937972.19561248,2978352.381412672,3023788.535990974,3068271.33665812,3116969.656008798,3162589.583293496,3212880.039361224,3266899.916432635,3322165.70519
textiles apparel and leather 13T15,0.0,0.0,0.0,0.0,0.0,1721913.765191017,1730752.930823038,1835152.811197846,1885331.386905922,1947329.69318007,2007853.672615232,2052752.424916818,2085009.237792858,2116813.501176062,2156440.893908649,2194132.080662427,2227615.007360633,2275787.465456566,2313266.831025145,2355775.936769875,2403116.120015471,2444999.079324534,2488626.463113856,2539119.415674496,2588155.453372194,2633447.916647674,2691296.86069863,2744143.278824114,2793807.102339596,2852921.139932242,2910938.441532479,2971939.004410577,3027036.549395278,3084957.151777056,3146023.404160932,3213180.772647788
wood products 16,0.0,0.0,0.0,0.0,0.0,6002173.408606639,5777009.521287935,6327085.096202734,6421719.810577035,6635108.821385819,6859794.761652461,7090360.159087705,7303330.31065958,7578924.064382919,7850529.006534751,8008077.493922041,8243461.238634645,8453827.246530132,8635323.79141598,8782273.328550678,8941641.22063503,9035624.770180445,9193084.679994486,9375202.809038362,9477854.293618564,9554275.768875513,9651272.21572164,9700102.247759616,9826242.263567263,10052671.17879886,10232995.070522454,10376715.991421143,10474348.0891366,10578825.224540157,10719559.562298005,10779642.190716477
pulp paper and printing 17T18,0.0,0.0,0.0,0.0,0.0,501100116.2178135,522072669.59658,534804985.8795011,542429759.504975,555750112.1516999,566770404.4122641,578855912.7847283,587025718.7654747,597416685.67545,608023431.0202991,618254485.3257655,630484133.8364322,641489476.0729717,651273775.549963,662368689.3784587,672248172.3200908,681712514.8155376,694174394.1125194,708592027.0048069,721853478.3872718,733811806.9642136,750346315.8987619,766909979.9675416,783025692.4678669,800801540.0984635,816456140.8932177,830461425.126819,844806524.9580437,854125773.891601,876510167.0507973,894840548.0944877
refined petroleum and coke 19,0.0,0.0,0.0,0.0,0.0,4320017.657007638,4763277.620192144,4817896.664312347,5092496.52210818,5162846.444229606,5214636.660328265,5248306.10225616,5310138.528856955,5295151.090986041,5279802.628433817,5325202.27106549,5187954.968763742,5442614.894163304,5429073.016013125,5376130.714796691,5478214.190974218,5382811.884810455,5397005.226761024,5413747.010605613,5427808.114843816,5472566.738168502,5535736.704745126,5578947.926129761,5606443.462192141,5604141.882297035,5651026.703034075,5702063.720337325,5721102.863307198,5681095.857068882,5665409.860489422,5715884.388688888
